1,2,3,4,5,6,7,8,9,10,11,classif
0.97448987,0.004712911,0.20892769,0.08923052,0.007252832,0.3595883,1.50E-07,0.20850998,3.33E-06,0.020934476,0.14507326,1
0.9999906,6.78E-05,0.00272322,0.005880003,1.45E-05,0.006455834,5.83E-19,0.011277478,2.25E-16,5.03E-07,0.003026124,1
0.9999868,0.001057991,0.0481589,0.003472867,3.84E-06,7.28E-07,7.28E-20,0.13325301,1.27E-16,5.69E-07,0.010945068,1
0.9999999,3.28E-06,0.005320367,0.006258449,2.53E-07,2.64E-07,6.77E-27,0.007051352,5.59E-23,6.41E-10,0.000781828,1
0.99767065,0.031262238,0.08790897,0.027970891,0.015066726,0.002575551,9.51E-11,0.05683704,3.98E-09,0.001096616,0.025794186,1
0.86894155,0.20241226,0.3815719,0.28341872,0.4191562,0.035850316,7.08E-05,0.034076516,0.000230746,0.14428692,0.2562827,1
0.35340604,0.005509969,0.061354905,0.98877984,0.6346464,0.006767767,3.99E-08,0.04929379,5.46E-07,0.010676147,0.05139077,4
0.9997682,0.000528103,0.40520605,0.023520516,0.000280087,0.000199253,4.07E-15,0.020353302,1.23E-12,6.10E-05,0.016617294,1
0.97235334,0.10652448,0.42054495,0.053656317,0.022597589,0.006562987,2.28E-07,0.038213536,1.92E-06,0.20234555,0.07036834,1
0.9941704,0.2673189,0.29951748,0.044907097,0.025518874,0.000238445,1.03E-09,0.0657536,2.84E-08,0.002396847,0.052875344,1
0.998428,0.028508116,0.16375545,0.035109792,0.001239038,0.000123735,3.99E-12,0.35557285,6.47E-10,0.000137043,0.09082111,1
0.99998695,0.000231349,0.016093545,0.003601192,1.52E-05,6.01E-05,3.54E-19,0.07831672,5.08E-16,5.63E-07,0.00462601,1
0.7302158,0.12795272,0.65328276,0.7146845,0.18037285,0.008624069,0.0001577,0.5023796,0.001035497,0.030174265,0.6298738,1
0.9781719,0.26345143,0.1389615,0.017134612,0.04495855,0.027525466,4.96E-07,0.22690806,9.26E-06,0.02419261,0.06933006,1
0.92317927,0.098573014,0.25725642,0.051753134,0.031713545,0.17189962,1.73E-05,0.6431907,0.000364823,0.07016697,0.20880067,1
0.9943014,0.010958461,0.5667585,0.05732754,0.001862638,0.001343782,8.49E-10,0.15705824,4.19E-08,0.00365653,0.22689524,1
0.9990501,0.002627678,0.06515134,0.001878944,6.55E-05,0.000461335,4.42E-13,0.8415625,4.23E-10,0.000543824,0.13058358,1
0.9919239,0.34497574,0.094638266,0.039483797,0.08064178,0.00440619,7.82E-09,0.038219392,1.08E-07,0.004377687,0.025769709,1
0.9999598,0.043292694,0.06783358,0.052542146,0.000290533,3.42E-07,6.23E-18,0.001661421,4.41E-16,3.46E-06,0.004208522,1
0.99941456,0.00160537,0.058974214,0.010150748,0.000386924,0.007087927,5.71E-13,0.112525515,8.89E-11,0.001000885,0.006744421,1
0.5960067,0.04303506,0.5529955,0.14372785,0.06348414,0.045210343,9.57E-05,0.0812074,0.000478892,0.9275554,0.26192,10
0.99337107,0.22577947,0.15393104,0.028666204,0.023575062,0.001974808,3.09E-09,0.08892327,7.22E-08,0.002990711,0.04988292,1
0.48968014,0.074838,0.48022956,0.5501882,0.28561065,0.106143944,0.005072458,0.3988523,0.01838877,0.24721366,0.7829439,11
0.9997931,0.024406925,0.0750275,0.013278373,0.000493125,2.16E-05,7.69E-15,0.016882861,6.97E-13,6.99E-05,0.017955663,1
0.999899,0.000310558,0.040429603,0.019425092,0.00011615,0.001830454,1.19E-15,0.03921942,2.26E-13,1.12E-05,0.015632156,1
0.9923272,0.06479422,0.14592192,0.07490889,0.012304015,0.003972743,4.43E-09,0.17640486,1.01E-07,0.002321478,0.06682801,1
0.999828,0.053647388,0.05041798,0.009356955,0.000774631,2.92E-05,4.34E-15,0.015707085,4.16E-13,3.75E-05,0.0075075,1
0.99995846,0.00977851,0.023770778,0.008398121,0.000115771,8.89E-06,1.92E-17,0.018947965,4.37E-15,3.94E-06,0.006481738,1
0.98958284,0.527319,0.1401644,0.029803077,0.039091963,0.002231839,1.63E-08,0.075182185,2.36E-07,0.006150829,0.041461926,1
0.9997936,0.001286372,0.019470595,0.08655061,0.000503175,0.008376789,1.47E-14,0.00465036,4.62E-13,3.27E-05,0.007264573,1
0.9998149,0.10142403,0.005397482,0.028517138,0.005421066,0.000154442,6.47E-15,0.019016258,4.29E-13,3.82E-06,0.00368434,1
0.99976844,0.08865214,0.048421063,0.010074749,0.00113381,4.36E-05,1.53E-14,0.014056858,1.07E-12,5.28E-05,0.00892903,1
0.73225904,0.10118418,0.29013047,0.45472288,0.1473157,0.20966473,0.000857509,0.19072902,0.002579546,0.13377103,0.6501939,1
0.9828127,0.07044465,0.046645217,0.060720652,0.010672782,0.18993305,7.55E-08,0.1506022,1.01E-06,0.014555518,0.06244331,1
0.99976844,0.088652164,0.048421048,0.010074772,0.001133812,4.36E-05,1.53E-14,0.014056858,1.07E-12,5.28E-05,0.00892903,1
0.99859256,0.08629197,0.205223,0.0280014,0.003503482,0.000110044,7.43E-12,0.023938132,2.47E-10,0.000803184,0.04002443,1
0.56034654,0.016542662,0.62088054,0.71566474,0.038336318,0.008855579,4.79E-05,0.3459071,0.000297094,0.15406977,0.86340714,11
0.54107565,0.06657804,0.16350684,0.7495175,0.8450188,0.048348572,0.00011735,0.050670043,0.000386952,0.26410982,0.15437448,5
0.99127984,0.013235248,0.20718572,0.15100601,0.00820757,0.024894832,8.80E-09,0.109075956,1.42E-07,0.006855254,0.051712357,1
0.69100463,0.0366849,0.016245943,0.07272638,0.15806459,0.9822177,5.75E-05,0.3895923,0.001246769,0.10239719,0.11431225,6
0.36211318,0.013725031,0.26262945,0.08614166,0.057679445,0.025315106,7.33E-06,0.04540941,6.95E-05,0.98786634,0.21707895,10
0.74064595,0.6686728,0.33802804,0.13766095,0.063451074,0.022335434,0.00038661,0.8032707,0.004172566,0.06352023,0.3678097,8
0.99876904,0.015378693,0.11292815,0.015354646,0.000350355,0.000151576,2.78E-12,0.46766576,4.62E-10,0.000135609,0.21421382,1
0.9985821,0.001626903,0.0887324,0.009066002,0.000675598,0.017374141,1.43E-11,0.094008006,1.28E-09,0.000747909,0.18330692,1
0.9708641,0.9818371,0.006933577,0.010202971,0.031649902,0.010201675,6.20E-08,0.31216428,1.04E-06,0.001573372,0.037721667,2
0.7970353,0.025276596,0.011764709,0.054207213,0.05600069,0.9834543,6.61E-06,0.4895982,0.000224733,0.033312857,0.11272779,6
0.20627876,0.006190669,0.119751714,0.148251,0.060306534,0.12063064,1.52E-05,0.15389831,0.000174234,0.97575337,0.39982986,10
0.70485455,0.000896374,0.4839009,0.43979526,0.002158603,0.004324481,1.73E-07,0.8913895,1.22E-05,0.02888538,0.92034024,11
0.9984785,0.002218627,0.3152019,0.092885,0.001542225,0.000643566,3.81E-12,0.11330276,3.49E-10,0.000344135,0.04867781,1
0.66201186,0.020234128,0.6821964,0.12902091,0.0374382,0.005562405,1.14E-05,0.07070878,7.24E-05,0.93908644,0.29800653,10
0.7563937,0.004271417,0.22460163,0.98270106,0.14119355,0.012086782,6.85E-08,0.061139762,6.58E-07,0.002789091,0.2774829,4
0.5351808,0.42960122,0.1321191,0.07643403,0.26152885,0.502399,0.007201165,0.45319065,0.036188077,0.40585,0.5190975,1
0.96620125,0.027231645,0.01967074,0.012592061,0.028868375,0.9401309,1.08E-06,0.19291648,1.99E-05,0.06393997,0.043327846,1
0.98937094,0.13734727,0.30020544,0.07245675,0.030323712,0.00130008,1.24E-08,0.08992418,2.23E-07,0.008121802,0.06469541,1
0.9972271,0.055623334,0.05829359,0.006389465,0.000900474,0.002195237,9.63E-11,0.60921866,1.26E-08,0.000341516,0.19830461,1
